fun,acc,ture_acc
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968833379447,0.9706
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993675164878,0.9715
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991391837597,0.9629
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991241852442,0.9538
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968083384136,0.9675
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.992700162033,0.9618
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991966833671,0.9594
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991416824361,0.9575
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.964916701118,0.9715
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.99332515647,0.9672
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991341841718,0.9634
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990683493515,0.9555
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969750051697,0.9702
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993416833381,0.9685
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991716831923,0.9589
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990775177876,0.9562
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967916699747,0.9725
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993466831744,0.9654
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991616825263,0.9591
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991191839178,0.9564
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965000035862,0.9686
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993941836059,0.973
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991825168331,0.957
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990833505988,0.9555
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.963416717947,0.9631
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993141820033,0.9629
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99174182862,0.9584
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990833496054,0.9543
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967333368957,0.9696
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993700166543,0.9706
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991775179903,0.9581
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991433521112,0.9596
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965083390474,0.9663
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.992941826582,0.97
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.99174182862,0.9567
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991766832769,0.9585
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968833381931,0.9678
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993350160619,0.9663
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991416834295,0.9582
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991325179736,0.9551
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965833365917,0.9704
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993983489772,0.9724
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991925157607,0.9618
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990850165486,0.9605
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965916698178,0.9702
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993500180542,0.9704
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991883506378,0.9613
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991283501188,0.9558
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965500031908,0.9637
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993533497055,0.9712
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991891821225,0.9624
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991125171383,0.9576
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.967333378891,0.9682
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993025166293,0.9632
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.9917834873,0.9613
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991408509513,0.9576
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965666713814,0.9681
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993725178142,0.9693
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991991840303,0.9591
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991466825207,0.9549
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.970416712264,0.9719
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993850154181,0.9712
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991616832713,0.9632
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.99130850782,0.9578
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965000038346,0.9648
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.992791833977,0.9662
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.992166827122,0.9616
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991458515326,0.9563
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.969083378712,0.9699
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993316826721,0.975
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991683507959,0.9606
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991808508833,0.9588
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.965666708847,0.9717
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993050150573,0.9721
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991325169802,0.9607
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.990758513411,0.9523
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991741843522,0.9562
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991450183094,0.9553
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.96525003016,0.9661
'poisson''binary_accuracy''rmsprop''tanh''softmax',0.993225159744,0.9672
'categorical_hinge''binary_accuracy''rmsprop''tanh''softmax',0.991083502769,0.9575
'poisson''binary_accuracy''rmsprop''sigmoid''softmax',0.991500174006,0.9566
'poisson''categorical_accuracy''rmsprop''tanh''softmax',0.968833379447,0.9699
